trip_id,stop_id,sched_ts
CITY1,EMSI,2025-08-17 06:26:00
CITY1,EMSI,2025-08-16 06:26:00
CITY1,EMSI,2025-08-15 06:26:00
CITY1,EMSI,2025-08-14 06:26:00
CITY2,EMSI,2025-08-20 06:28:00
CITY2,EMSI,2025-08-19 06:28:00
CITY2,EMSI,2025-08-18 06:28:00
CITY2,EMSI,2025-08-17 06:28:00
CITY2,EMSI,2025-08-16 06:28:00
CITY2,EMSI,2025-08-15 06:28:00
CITY2,EMSI,2025-08-14 06:28:00
CITY2,DADAN,2025-08-20 06:35:00
CITY2,DADAN,2025-08-19 06:35:00
CITY2,DADAN,2025-08-18 06:35:00
CITY2,DADAN,2025-08-17 06:35:00
CITY2,DADAN,2025-08-16 06:35:00
CITY2,DADAN,2025-08-15 06:35:00
CITY2,DADAN,2025-08-14 06:35:00
CITY2,NADAV,2025-08-20 06:42:00
CITY2,NADAV,2025-08-19 06:42:00
CITY2,NADAV,2025-08-18 06:42:00
CITY2,NADAV,2025-08-17 06:42:00
CITY2,NADAV,2025-08-16 06:42:00
CITY2,NADAV,2025-08-15 06:42:00
CITY2,NADAV,2025-08-14 06:42:00
CITY2,NANAA,2025-08-20 06:49:00
CITY2,NANAA,2025-08-19 06:49:00
CITY2,NANAA,2025-08-18 06:49:00
CITY2,NANAA,2025-08-17 06:49:00
CITY2,NANAA,2025-08-16 06:49:00
CITY2,NANAA,2025-08-15 06:49:00
CITY2,NANAA,2025-08-14 06:49:00
CITY2,STAGECOACH,2025-08-20 06:56:00
CITY2,STAGECOACH,2025-08-19 06:56:00
CITY2,STAGECOACH,2025-08-18 06:56:00
CITY2,STAGECOACH,2025-08-17 06:56:00
CITY2,STAGECOACH,2025-08-16 06:56:00
CITY2,STAGECOACH,2025-08-15 06:56:00
CITY2,STAGECOACH,2025-08-14 06:56:00
AB1,BEATTY_AIRPORT,2025-08-20 08:00:00
AB1,BEATTY_AIRPORT,2025-08-19 08:00:00
AB1,BEATTY_AIRPORT,2025-08-18 08:00:00
AB1,BEATTY_AIRPORT,2025-08-17 08:00:00
AB1,BEATTY_AIRPORT,2025-08-16 08:00:00
AB1,BEATTY_AIRPORT,2025-08-15 08:00:00
AB1,BEATTY_AIRPORT,2025-08-14 08:00:00
AB1,BULLFROG,2025-08-20 08:10:00
AB1,BULLFROG,2025-08-19 08:10:00
AB1,BULLFROG,2025-08-18 08:10:00
AB1,BULLFROG,2025-08-17 08:10:00
AB1,BULLFROG,2025-08-16 08:10:00
AB1,BULLFROG,2025-08-15 08:10:00
AB1,BULLFROG,2025-08-14 08:10:00
AB2,BULLFROG,2025-08-20 12:05:00
AB2,BULLFROG,2025-08-19 12:05:00
AB2,BULLFROG,2025-08-18 12:05:00
AB2,BULLFROG,2025-08-17 12:05:00
AB2,BULLFROG,2025-08-16 12:05:00
AB2,BULLFROG,2025-08-15 12:05:00
AB2,BULLFROG,2025-08-14 12:05:00
AB2,BEATTY_AIRPORT,2025-08-20 12:15:00
AB2,BEATTY_AIRPORT,2025-08-19 12:15:00
AB2,BEATTY_AIRPORT,2025-08-18 12:15:00
AB2,BEATTY_AIRPORT,2025-08-17 12:15:00
AB2,BEATTY_AIRPORT,2025-08-16 12:15:00
AB2,BEATTY_AIRPORT,2025-08-15 12:15:00
AB2,BEATTY_AIRPORT,2025-08-14 12:15:00
BFC1,BULLFROG,2025-08-20 08:20:00
BFC1,BULLFROG,2025-08-19 08:20:00
BFC1,BULLFROG,2025-08-18 08:20:00
BFC1,BULLFROG,2025-08-17 08:20:00
BFC1,BULLFROG,2025-08-16 08:20:00
BFC1,BULLFROG,2025-08-15 08:20:00
BFC1,BULLFROG,2025-08-14 08:20:00
BFC1,FUR_CREEK_RES,2025-08-20 09:20:00
BFC1,FUR_CREEK_RES,2025-08-19 09:20:00
BFC1,FUR_CREEK_RES,2025-08-18 09:20:00
BFC1,FUR_CREEK_RES,2025-08-17 09:20:00
BFC1,FUR_CREEK_RES,2025-08-16 09:20:00
BFC1,FUR_CREEK_RES,2025-08-15 09:20:00
BFC1,FUR_CREEK_RES,2025-08-14 09:20:00
BFC2,FUR_CREEK_RES,2025-08-20 11:00:00
BFC2,FUR_CREEK_RES,2025-08-19 11:00:00
BFC2,FUR_CREEK_RES,2025-08-18 11:00:00
BFC2,FUR_CREEK_RES,2025-08-17 11:00:00
BFC2,FUR_CREEK_RES,2025-08-16 11:00:00
BFC2,FUR_CREEK_RES,2025-08-15 11:00:00
BFC2,FUR_CREEK_RES,2025-08-14 11:00:00
BFC2,BULLFROG,2025-08-20 12:00:00
BFC2,BULLFROG,2025-08-19 12:00:00
BFC2,BULLFROG,2025-08-18 12:00:00
BFC2,BULLFROG,2025-08-17 12:00:00
BFC2,BULLFROG,2025-08-16 12:00:00
BFC2,BULLFROG,2025-08-15 12:00:00
BFC2,BULLFROG,2025-08-14 12:00:00
AAMV1,BEATTY_AIRPORT,2025-08-20 08:00:00
AAMV1,BEATTY_AIRPORT,2025-08-19 08:00:00
AAMV1,BEATTY_AIRPORT,2025-08-18 08:00:00
AAMV1,BEATTY_AIRPORT,2025-08-17 08:00:00
AAMV1,BEATTY_AIRPORT,2025-08-16 08:00:00
AAMV1,BEATTY_AIRPORT,2025-08-15 08:00:00
AAMV1,BEATTY_AIRPORT,2025-08-14 08:00:00
AAMV1,AMV,2025-08-20 09:00:00
AAMV1,AMV,2025-08-19 09:00:00
AAMV1,AMV,2025-08-18 09:00:00
AAMV1,AMV,2025-08-17 09:00:00
AAMV1,AMV,2025-08-16 09:00:00
AAMV1,AMV,2025-08-15 09:00:00
AAMV1,AMV,2025-08-14 09:00:00
AAMV2,AMV,2025-08-20 10:00:00
AAMV2,AMV,2025-08-19 10:00:00
AAMV2,AMV,2025-08-18 10:00:00
AAMV2,AMV,2025-08-17 10:00:00
AAMV2,AMV,2025-08-16 10:00:00
AAMV2,AMV,2025-08-15 10:00:00
AAMV2,AMV,2025-08-14 10:00:00
AAMV2,BEATTY_AIRPORT,2025-08-20 11:00:00
AAMV2,BEATTY_AIRPORT,2025-08-19 11:00:00
AAMV2,BEATTY_AIRPORT,2025-08-18 11:00:00
AAMV2,BEATTY_AIRPORT,2025-08-17 11:00:00
AAMV2,BEATTY_AIRPORT,2025-08-16 11:00:00
AAMV2,BEATTY_AIRPORT,2025-08-15 11:00:00
AAMV2,BEATTY_AIRPORT,2025-08-14 11:00:00
AAMV3,BEATTY_AIRPORT,2025-08-20 13:00:00
AAMV3,BEATTY_AIRPORT,2025-08-19 13:00:00
AAMV3,BEATTY_AIRPORT,2025-08-18 13:00:00
AAMV3,BEATTY_AIRPORT,2025-08-17 13:00:00
AAMV3,BEATTY_AIRPORT,2025-08-16 13:00:00
AAMV3,BEATTY_AIRPORT,2025-08-15 13:00:00
AAMV3,BEATTY_AIRPORT,2025-08-14 13:00:00
AAMV3,AMV,2025-08-20 14:00:00
AAMV3,AMV,2025-08-19 14:00:00
AAMV3,AMV,2025-08-18 14:00:00
AAMV3,AMV,2025-08-17 14:00:00
AAMV3,AMV,2025-08-16 14:00:00
AAMV3,AMV,2025-08-15 14:00:00
AAMV3,AMV,2025-08-14 14:00:00
AAMV4,AMV,2025-08-20 15:00:00
AAMV4,AMV,2025-08-19 15:00:00
AAMV4,AMV,2025-08-18 15:00:00
AAMV4,AMV,2025-08-17 15:00:00
AAMV4,AMV,2025-08-16 15:00:00
AAMV4,AMV,2025-08-15 15:00:00
AAMV4,AMV,2025-08-14 15:00:00
AAMV4,BEATTY_AIRPORT,2025-08-20 16:00:00
AAMV4,BEATTY_AIRPORT,2025-08-19 16:00:00
AAMV4,BEATTY_AIRPORT,2025-08-18 16:00:00
AAMV4,BEATTY_AIRPORT,2025-08-17 16:00:00
AAMV4,BEATTY_AIRPORT,2025-08-16 16:00:00
AAMV4,BEATTY_AIRPORT,2025-08-15 16:00:00
AAMV4,BEATTY_AIRPORT,2025-08-14 16:00:00
